Month,Year,"Total No. of 
Employees",PETTY CASH,Electricity,Rent,Diesel,"Genset/Panel/
Electrical 
Spares",AC Maint.,"Tea/Coffee/
Soup","Stationary/
Toiletry",FOOD,Housekeeping,Office Maint.,"Internet/
Telephone","MONTHLY 
EXPENSES","Cost 
per 
Head",%age Cost Per Head of Gross Business Expense
10-Jan,2015,110,16176,54221,454480,12042,1045,500,8610,6315,25385,13200,24108,37507,637413,5795,0
10-Feb,2015,111,15971,66100,454480,6000,2575,8900,6560,4397,26800,13200,22021,42640,653668,5889,0
10-Mar,2015,110,15034,77846,454480,42000,37959,30400,9840,7326,30650,12622,21482,36834,761439,6922,0
10-Apr,2015,109,23343,95616,454480,48000,13696,0,6560,7666,28070,13200,31082,51025,749395,6875,0
10-May,2015,109,16866,117783,454480,67697,5018,0,3520,6647,28748,13200,24207,51466,772766,7090,0
10-Jun,2015,107,11779,156016,454480,22000,1439,0,7040,8470,35532,13200,23278,48638,770093,7197,0
10-Jul,2015,122,43179,133771,454480,64026,3250,0,7120,14878,43815,13200,110333,50740,895613,7341,0
10-Aug,2015,128,17316,135710,454480,48000,2824,0,7120,9878,40007,21150,38344,44330,801843,6264,0
10-Sep,2015,126,34481,135705,474400,56000,6869,0,8800,9946,42400,21000,42872,96829,894821,7102,0
10-Oct,2015,137,19379,135980,474400,16000,2355,0,7120,11375,38977,21000,52157,94134,853498,6230,0
10-Nov,2015,146,29023,122435,474400,8000,4340,500,15719,9958,40246,20680,61483,95945,853706,5847,0
10-Dec,2015,145,21103,102467,474400,16000,1201,0,9291,9944,48500,21300,157188,96210,936501,6459,0.82
11-Jan,2016,152,14868,106058,474400,16000,2192,0,7120,10324,45296,21400,39831,89676,812297,5344,0
11-Feb,2016,153,18398,125803,474400,16000,2542,42572,9898,10800,44855,21500,29301,95205,872876,5705,0
11-Mar,2016,161,32888,148984,474400,12300,24790,33300,10794,10573,45511,21450,39212,80469,901783,5601,0
11-Apr,2016,175,18834,173776,474400,8000,2935,0,10279,8572,46503,21500,32925,76575,855465,4888,0
11-May,2016,168,21807,206316,509981,16000,4024,2900,11902,11356,55011,21700,32197,77982,949369,5651,0
11-Jun,2016,173,19895,192326,545560,19700,3785,14300,11686,12165,54281,21500,78773,80003,1034079,5977,0
11-Jul,2016,172,38971,176691,545560,28000,13654,61259,9675,17107,44958,36923,62899,80342,1077068,6262,0
11-Aug,2016,182,24312,220475,724332,0,3791,1500,12330,11000,46966,45500,41361,79994,1187249,6523,0
11-Sep,2016,191,30737,264352,724332,8000,781,0,6480,14124,48545,48200,176679,76687,1368180,7163,0
11-Oct,2016,182,47848,276935,724332,16000,2291,0,9051,9606,42220,53000,81144,80002,1294581,7113,0
11-Nov,2016,189,20072,232630,724332,0,2965,1300,10575,9913,46045,54000,37573,77099,1196432,6330,0
11-Dec,2016,188,19987,188335,724332,0,1014,1300,9450,9270,48061,54500,35788,79906,1151956,6127,0.57
